,Epoch,Trainset Loss,Testset Loss,Trainset Accuracy,Testset Accuracy,Trainset Classwise Accuracy,Testset Classwise Accuracy
28,29,2.754363269832538,387.4900534451008,99.982,75.53,"{'plane': 99.98, 'car': 100.0, 'bird': 99.92, 'cat': 99.98, 'deer': 100.0, 'dog': 99.98, 'frog': 99.98, 'horse': 100.0, 'ship': 99.98, 'truck': 100.0}","{'plane': 80.4, 'car': 88.6, 'bird': 63.2, 'cat': 54.0, 'deer': 71.8, 'dog': 64.3, 'frog': 84.1, 'horse': 78.9, 'ship': 85.9, 'truck': 84.1}"
29,30,2.046331517121871,383.52229249477386,99.996,75.38,"{'plane': 100.0, 'car': 100.0, 'bird': 99.98, 'cat': 100.0, 'deer': 99.98, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 79.3, 'car': 88.7, 'bird': 64.60000000000001, 'cat': 52.300000000000004, 'deer': 72.7, 'dog': 63.9, 'frog': 83.0, 'horse': 79.0, 'ship': 86.8, 'truck': 83.5}"
30,31,1.8678183797928796,383.49066239595413,99.994,75.52,"{'plane': 100.0, 'car': 99.98, 'bird': 100.0, 'cat': 99.98, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 99.98}","{'plane': 80.30000000000001, 'car': 89.5, 'bird': 64.2, 'cat': 56.3, 'deer': 70.6, 'dog': 64.0, 'frog': 82.6, 'horse': 78.9, 'ship': 85.7, 'truck': 83.1}"
31,32,1.506971824743232,377.7292187511921,99.992,75.53,"{'plane': 99.96000000000001, 'car': 99.98, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 99.98, 'truck': 100.0}","{'plane': 80.5, 'car': 88.6, 'bird': 66.2, 'cat': 51.6, 'deer': 72.7, 'dog': 62.7, 'frog': 82.6, 'horse': 79.0, 'ship': 86.9, 'truck': 84.5}"
32,33,1.6713042031824443,380.17891159653664,99.99,75.66000000000001,"{'plane': 99.98, 'car': 99.98, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 99.98, 'horse': 99.98, 'ship': 99.98, 'truck': 100.0}","{'plane': 79.9, 'car': 89.9, 'bird': 67.9, 'cat': 54.6, 'deer': 70.89999999999999, 'dog': 62.0, 'frog': 82.89999999999999, 'horse': 78.60000000000001, 'ship': 85.2, 'truck': 84.7}"
33,34,1.3422498431154963,375.5887449979782,99.998,75.63,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 99.98, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.2, 'car': 89.2, 'bird': 64.9, 'cat': 53.6, 'deer': 70.89999999999999, 'dog': 63.7, 'frog': 82.8, 'horse': 80.2, 'ship': 85.2, 'truck': 84.6}"
34,35,1.3052141341613606,367.618502214551,99.994,75.79,"{'plane': 100.0, 'car': 100.0, 'bird': 99.98, 'cat': 100.0, 'deer': 99.98, 'dog': 99.98, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.10000000000001, 'car': 89.4, 'bird': 66.5, 'cat': 53.400000000000006, 'deer': 70.8, 'dog': 63.6, 'frog': 83.1, 'horse': 78.3, 'ship': 87.2, 'truck': 84.5}"
35,36,1.4786743164859217,373.2640423476696,99.99,75.44,"{'plane': 99.98, 'car': 100.0, 'bird': 100.0, 'cat': 99.96000000000001, 'deer': 100.0, 'dog': 99.98, 'frog': 99.98, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.8, 'car': 88.2, 'bird': 62.0, 'cat': 55.00000000000001, 'deer': 71.3, 'dog': 63.1, 'frog': 83.39999999999999, 'horse': 79.60000000000001, 'ship': 86.0, 'truck': 84.0}"
36,37,1.3285523512931832,372.5578937828541,99.994,75.53999999999999,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 99.98, 'deer': 100.0, 'dog': 100.0, 'frog': 99.98, 'horse': 100.0, 'ship': 100.0, 'truck': 99.98}","{'plane': 82.5, 'car': 89.8, 'bird': 65.7, 'cat': 53.6, 'deer': 72.2, 'dog': 64.4, 'frog': 82.5, 'horse': 78.8, 'ship': 85.7, 'truck': 80.2}"
37,38,1.3444017055680888,369.32078620791435,99.992,75.66000000000001,"{'plane': 99.98, 'car': 100.0, 'bird': 99.98, 'cat': 100.0, 'deer': 99.96000000000001, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.10000000000001, 'car': 88.6, 'bird': 67.0, 'cat': 50.8, 'deer': 71.1, 'dog': 63.7, 'frog': 83.7, 'horse': 79.5, 'ship': 86.6, 'truck': 84.5}"
38,39,1.0114896037521248,365.6350789666176,100.0,75.9,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.10000000000001, 'car': 88.6, 'bird': 65.4, 'cat': 54.800000000000004, 'deer': 72.3, 'dog': 61.8, 'frog': 83.89999999999999, 'horse': 80.9, 'ship': 85.6, 'truck': 84.6}"
39,40,0.9327713418497297,361.31626132130623,100.0,76.05,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.3, 'car': 89.4, 'bird': 64.8, 'cat': 54.2, 'deer': 72.5, 'dog': 64.0, 'frog': 84.1, 'horse': 79.7, 'ship': 85.9, 'truck': 84.6}"
40,41,1.0434406601543742,360.1731459647417,99.998,76.09,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 99.98, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 80.80000000000001, 'car': 89.1, 'bird': 65.60000000000001, 'cat': 55.00000000000001, 'deer': 73.4, 'dog': 63.0, 'frog': 82.0, 'horse': 80.0, 'ship': 86.5, 'truck': 85.5}"
41,42,1.4245690499574266,358.2212028801441,99.988,75.73,"{'plane': 99.96000000000001, 'car': 99.98, 'bird': 99.96000000000001, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 99.98, 'ship': 100.0, 'truck': 100.0}","{'plane': 80.80000000000001, 'car': 89.60000000000001, 'bird': 65.5, 'cat': 51.800000000000004, 'deer': 73.0, 'dog': 63.3, 'frog': 84.0, 'horse': 78.8, 'ship': 86.1, 'truck': 84.39999999999999}"
42,43,1.620317382257781,355.48837876319885,99.994,75.48,"{'plane': 99.98, 'car': 100.0, 'bird': 100.0, 'cat': 99.96000000000001, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 80.60000000000001, 'car': 88.1, 'bird': 65.10000000000001, 'cat': 54.900000000000006, 'deer': 71.89999999999999, 'dog': 62.0, 'frog': 82.89999999999999, 'horse': 79.3, 'ship': 85.9, 'truck': 84.1}"
43,44,1.268705351096287,354.5578492283821,99.994,75.74,"{'plane': 99.98, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 99.96000000000001}","{'plane': 81.6, 'car': 89.60000000000001, 'bird': 64.2, 'cat': 55.7, 'deer': 70.89999999999999, 'dog': 63.5, 'frog': 83.7, 'horse': 78.9, 'ship': 85.9, 'truck': 83.39999999999999}"
44,45,0.9769747405771341,348.7369464933872,100.0,75.81,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.39999999999999, 'car': 88.8, 'bird': 64.9, 'cat': 54.0, 'deer': 71.5, 'dog': 63.0, 'frog': 84.3, 'horse': 77.8, 'ship': 87.2, 'truck': 85.2}"
45,46,0.9774187069415348,346.6430206298828,99.998,75.99000000000001,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 99.98, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 82.6, 'car': 89.7, 'bird': 65.7, 'cat': 53.7, 'deer': 71.8, 'dog': 63.0, 'frog': 84.0, 'horse': 79.10000000000001, 'ship': 85.8, 'truck': 84.5}"
46,47,0.9280503632326145,343.5307425558567,100.0,76.05,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.5, 'car': 89.2, 'bird': 66.3, 'cat': 55.300000000000004, 'deer': 71.89999999999999, 'dog': 62.3, 'frog': 83.8, 'horse': 79.7, 'ship': 86.1, 'truck': 84.39999999999999}"
47,48,1.1259305468738603,343.0332124233246,99.996,75.81,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 99.98, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 99.98, 'truck': 100.0}","{'plane': 81.3, 'car': 89.0, 'bird': 64.9, 'cat': 53.0, 'deer': 72.8, 'dog': 63.7, 'frog': 84.0, 'horse': 79.80000000000001, 'ship': 85.9, 'truck': 83.7}"
48,49,1.0205106461799005,341.88340294361115,99.998,75.89,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 99.98, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.0, 'car': 89.60000000000001, 'bird': 65.4, 'cat': 53.800000000000004, 'deer': 72.5, 'dog': 64.3, 'frog': 83.5, 'horse': 78.0, 'ship': 87.0, 'truck': 83.8}"
49,50,0.8441049484536052,340.4650299549103,100.0,75.92999999999999,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 80.9, 'car': 88.7, 'bird': 66.2, 'cat': 53.7, 'deer': 73.8, 'dog': 63.4, 'frog': 83.6, 'horse': 77.7, 'ship': 86.9, 'truck': 84.39999999999999}"
50,51,1.0934491949592484,341.486909031868,99.996,75.84,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 99.98, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 99.98, 'truck': 100.0}","{'plane': 80.9, 'car': 88.8, 'bird': 66.0, 'cat': 52.800000000000004, 'deer': 72.7, 'dog': 62.9, 'frog': 83.8, 'horse': 78.60000000000001, 'ship': 86.9, 'truck': 85.0}"
51,52,0.8440833227941766,338.24784818291664,100.0,75.89,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 80.80000000000001, 'car': 88.8, 'bird': 65.4, 'cat': 53.800000000000004, 'deer': 72.89999999999999, 'dog': 62.9, 'frog': 84.8, 'horse': 78.7, 'ship': 86.1, 'truck': 84.7}"
52,53,0.827156735562312,334.83779260516167,100.0,76.13,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.3, 'car': 89.5, 'bird': 64.9, 'cat': 53.7, 'deer': 72.3, 'dog': 64.0, 'frog': 84.5, 'horse': 79.4, 'ship': 86.7, 'truck': 85.0}"
53,54,0.8063277036744694,333.64850026369095,100.0,76.03,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.0, 'car': 89.1, 'bird': 65.0, 'cat': 53.6, 'deer': 72.89999999999999, 'dog': 63.2, 'frog': 84.7, 'horse': 79.7, 'ship': 86.8, 'truck': 84.3}"
54,55,0.8693316291646624,331.1237723827362,99.998,76.09,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 99.98}","{'plane': 81.5, 'car': 88.4, 'bird': 65.5, 'cat': 53.800000000000004, 'deer': 72.89999999999999, 'dog': 63.6, 'frog': 84.7, 'horse': 79.0, 'ship': 86.3, 'truck': 85.2}"
55,56,0.8364517891022842,328.988528996706,100.0,76.1,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.6, 'car': 88.5, 'bird': 66.10000000000001, 'cat': 54.2, 'deer': 72.8, 'dog': 62.7, 'frog': 84.89999999999999, 'horse': 79.0, 'ship': 86.2, 'truck': 85.0}"
56,57,0.8365088000791729,327.35814502835274,100.0,76.13,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.5, 'car': 88.7, 'bird': 65.60000000000001, 'cat': 54.7, 'deer': 74.0, 'dog': 63.1, 'frog': 83.89999999999999, 'horse': 78.7, 'ship': 86.4, 'truck': 84.7}"
57,58,0.865287765605899,325.34505328536034,100.0,76.22,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.5, 'car': 87.9, 'bird': 66.2, 'cat': 53.7, 'deer': 73.3, 'dog': 63.4, 'frog': 84.7, 'horse': 79.60000000000001, 'ship': 86.5, 'truck': 85.39999999999999}"
58,59,0.8584642693022033,324.87383848428726,100.0,76.35,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.8, 'car': 89.1, 'bird': 66.2, 'cat': 55.400000000000006, 'deer': 73.2, 'dog': 63.0, 'frog': 84.3, 'horse': 79.80000000000001, 'ship': 87.0, 'truck': 83.7}"
59,60,0.894738530711038,323.46186286211014,100.0,76.19,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.89999999999999, 'car': 88.4, 'bird': 66.4, 'cat': 54.2, 'deer': 72.6, 'dog': 64.2, 'frog': 84.0, 'horse': 78.8, 'ship': 86.8, 'truck': 84.6}"
