Player,No. of Matches,Runs Scored,Batting Average,Wickets Taken,Bowling Average,Player Role,Player Class
Jack Wildermuth,36,1664,28.2,85,30.17,Allrounder,0
Akila Dananjaya,45,971,24.27,147,27.54,Allrounder,0
Sanjaya Gangodawila,53,2223,28.87,12,28.25,Allrounder,0
Janeiro Tucker,8,336,28,5,45.6,Allrounder,0
Aruna Priyantha,134,4574,21.37,206,24.36,Allrounder,0
Ravindra Karunaratne,24,735,25.34,37,30.97,Allrounder,0
Shivam Dube,9,710,50.71,28,22.57,Allrounder,0
Ian Harvey,165,8409,34.6,425,27.51,Allrounder,0
Abuthahir Rizan,80,2256,19.44,175,24.69,Allrounder,0
Sajith Fernando,193,10700,38.62,269,23.78,Allrounder,0
Arosh Janoda,52,1097,18.59,103,24.77,Allrounder,0
Sachithra Serasinghe,129,8282,46.79,258,29.29,Allrounder,0
Rasika Priyadarshana,137,5484,27.42,327,26.11,Allrounder,0
Fayyaz Ahmed,6,141,12.81,20,31.45,Allrounder,0
Prenelan Subrayen,42,918,19.12,88,33.45,Allrounder,0
Andrew Symonds,227,14477,42.2,242,36,Allrounder,0
Hilton Cartwright,51,2720,34.87,42,35.88,Allrounder,0
Orlando Peters,31,937,15.61,20,33.4,Allrounder,0
Mohammad Hafeez,210,12169,34.76,253,26.73,Allrounder,0
Thomas Kaber,42,1589,38.75,119,29.07,Allrounder,0
Roston Chase,76,4230,39.53,125,32.08,Allrounder,0
Vijay Shankar,41,2099,47.7,32,50.93,Allrounder,0
Ernest Kemm,45,2643,35.71,23,43.6,Allrounder,0
Nuwan Shiroman,127,4949,24.37,56,28.76,Allrounder,0
Angelo Mathews,118,8328,47.86,63,46.46,Allrounder,0
Stiaan van Zyl,162,10201,43.96,68,37.27,Allrounder,0
Kevin O'Brien,43,2007,38.59,44,28.68,Allrounder,0
David Lloyd,407,19269,33.33,237,30.26,Allrounder,0
Farveez Maharoof,111,3755,25.71,182,32.25,Allrounder,0
Habibur Rahman,10,260,15.29,4,46,Allrounder,0
Dwayne Bravo,100,5302,30.64,177,33.43,Allrounder,0
Naeem Ashraf,86,3009,26.16,289,24.12,Allrounder,0
Daniel Christian,83,3783,30.5,163,34.84,Allrounder,0
Mahuru Dai,7,374,28.76,17,37.11,Allrounder,0
Freddie Brown,335,13325,27.36,1221,26.21,Allrounder,0
Chandana Pushpalal,17,225,12.5,24,39.16,Allrounder,0
Samit Patel,212,11976,36.62,322,39,Allrounder,0
Ashan Priyanjan,123,6722,37.76,100,30.48,Allrounder,0
Raymon Reifer,68,2613,26.39,155,24.34,Allrounder,0
Malachi Jones,5,95,10.55,11,42,Allrounder,0
Tajinder Singh,11,515,32.18,11,51.63,Allrounder,0
C Raghu,31,1324,31.52,29,35.96,Allrounder,0
Malinda Abeyratne,28,922,19.61,2,31.5,Allrounder,0
Lalit Yadav,7,375,53.57,6,74.66,Allrounder,0
Sam Curran,51,1952,28.7,133,30.03,Allrounder,0
Gareth Dukes,35,1038,20.76,77,27.92,Allrounder,0
Suwanji Madanayake,130,3378,19.63,364,21.42,Allrounder,0
Mahesh Kodamullage,7,92,7.66,12,42.83,Allrounder,0
Chathura Athukorala,34,561,20.03,100,21.08,Allrounder,0
Shreyas Gopal,56,2431,35.75,184,26.19,Allrounder,0
Saminda Gallage,6,124,15.5,8,21.25,Allrounder,0
Roland Lefebvre,77,1494,20.46,149,36.23,Allrounder,0
Dinesh Manjula de Silva,49,967,20.57,100,27.96,Allrounder,0
Andre Russell,17,609,26.47,54,20.44,Allrounder,0
Chaka Hodge,13,269,13.45,33,38.72,Allrounder,0
Paul Stirling,66,2746,27.46,25,43.56,Allrounder,0
Tim Bresnan,194,6456,28.95,546,30.82,Allrounder,0
Damodar Daesrath,19,644,26.83,27,24.03,Allrounder,0
Duncan Arnolda,110,3164,22.6,149,26.22,Allrounder,0
Charlie MacDonell,8,347,49.57,2,195.5,Allrounder,0
Chandra Kumara,49,1231,19.53,87,23.89,Allrounder,0
Malinga Amarasinghe,12,545,30.27,3,69.33,Allrounder,0
Nkrumah Bonner,62,2798,24.76,42,31.04,Allrounder,0
Keith Parsons,130,5324,28.62,106,43.83,Allrounder,0
Ranesh Perera,82,2118,21.39,104,30.59,Allrounder,0
Mahesh Priyadarshana,38,708,13.11,86,25.53,Allrounder,0
Pavan Deshpande,5,135,27,12,16.5,Allrounder,0
Dilruwan Perera,211,7507,23.68,759,26.37,Allrounder,0
Milind Kumar,37,2539,49.78,33,37.06,Allrounder,0
Shahid Afridi,113,5695,31.46,266,26.68,Allrounder,0
Andrew Ellis,106,5221,35.27,249,29.78,Allrounder,0
Warrington Phillip,43,644,14.31,148,25.52,Allrounder,0
David Hussey,192,14280,52.5,31,60.7,Allrounder,0
Shanuka Dissanayake,152,5015,27.4,346,21.81,Allrounder,0
Shane Watson,137,9451,42.57,210,29.97,Allrounder,0
Palitha Kumara,13,180,9,7,26.14,Allrounder,0
Raveen Nirmal,63,2210,21.88,6,35,Allrounder,0
David Wiese,108,5087,33.68,312,27.33,Allrounder,0
Pramuka Sudesh,65,1445,19.52,90,27.96,Allrounder,0
Yogesh Nagar,26,1577,46.38,5,41.6,Allrounder,0
Akalanka Ganegama,127,2189,15.52,293,27.29,Allrounder,0
Craig White,276,12395,32.53,395,28.5,Allrounder,0
Stuart Binny,88,4332,33.58,135,32.8,Allrounder,0
Iqbal Abdulla,59,1813,28.77,178,29.17,Allrounder,0
Andre Botha,30,1762,40.04,45,25.51,Allrounder,0
Hamish Anthony,74,1707,17.24,222,28.39,Allrounder,0
Maduranga Zoysa,35,1600,28.57,1,90,Allrounder,0
Michael Rippon,23,863,22.12,51,35.37,Allrounder,0
Mohammad Nawaz,43,2063,33.27,64,25.87,Allrounder,0
Yusuf Pathan,92,4572,35.44,196,32.18,Allrounder,0
Jeevantha Kulatunga,206,9414,32.35,84,28.95,Allrounder,0
Greg Lamb,70,3316,33.49,80,38.92,Allrounder,0
Danza Hyatt,51,2344,26.04,3,50.66,Allrounder,0
Sumit Narwal,57,1827,27.26,201,22.91,Allrounder,0
Saurabh Bandekar,64,2025,23.82,171,35.54,Allrounder,0
Ashish Yadav,32,1078,25.06,40,35.75,Allrounder,0
Abhishek Raut,14,637,31.85,8,41.25,Allrounder,0
Supeshala Jayathilake,26,1159,29.71,10,38.2,Allrounder,0
Yo Mahesh,50,1119,26.02,108,35.31,Allrounder,0
Safraz Farook,14,367,20.38,39,27.05,Allrounder,0
Ottis Gibson,177,5604,24.25,659,27.79,Allrounder,0
Neville Liyanage,39,619,11.46,140,21.76,Allrounder,0
Cameron Delport,61,3206,32.06,14,51.64,Allrounder,0
Shamar Springer,7,282,25.63,14,26.71,Allrounder,0
Nizamuddin,27,1033,26.48,41,29.43,Allrounder,0
Kade Harvey,27,740,24.66,60,35.35,Allrounder,0
Fariduddin,18,596,22.92,16,48.93,Allrounder,0
Amit Yadav,37,960,23.41,123,27.41,Allrounder,0
Michael Yardy,193,10693,36.49,29,75.58,Allrounder,0
Pubudu Ranaweera,55,1491,19.36,58,22.39,Allrounder,0
Chris Barnwell,53,1971,23.46,78,33.34,Allrounder,0
Rob Taylor,44,1461,22.82,90,41.01,Allrounder,0
Ariful Haque,79,3595,33.91,102,36.16,Allrounder,0
Nishad Iranka,5,103,14.71,1,26,Allrounder,0
Danushka Gunathilaka,52,2422,28.83,64,30.37,Allrounder,0
Shane Lee,93,5071,39.31,150,40.52,Allrounder,0
Peter Borren,27,1331,27.16,41,40.29,Allrounder,0
Chris Woakes,140,5620,35.34,474,25.69,Allrounder,0
Afif Hossain,16,719,29.95,18,45.05,Allrounder,0
John Davison,51,1177,16.57,111,45.61,Allrounder,0
David Willey,66,2179,26.57,167,30.53,Allrounder,0
Neville Madziva,46,1387,28.3,101,23.67,Allrounder,0
Roshan Jayatissa,51,971,15.41,189,23.76,Allrounder,0
Shane Getkate,8,315,22.5,12,32.75,Allrounder,0
Zhivago Groenewald,9,151,10.78,11,35.72,Allrounder,0
Lasantha Hemapriya,7,93,11.62,14,26.28,Allrounder,0
Anuk Fernando,33,1173,24.95,41,41.02,Allrounder,0
Lewis Gregory,73,2000,20.83,205,28.56,Allrounder,0
Lee Carseldine,47,2298,34.29,14,47.57,Allrounder,0
Rudi Second,105,6893,45.05,4,83.25,Allrounder,0
Viraj Perera,71,2386,21.49,108,21.99,Allrounder,0
Mohammad Rafique,62,1748,18.02,237,28.01,Allrounder,0
Kashif Bhatti,80,2678,24.34,317,22.68,Allrounder,0
Saleem Mukuddem,8,262,21.83,23,24.65,Allrounder,0
Saliya Saman,91,3394,28.28,212,25.59,Allrounder,0
Seekkuge Prasanna,107,3617,22.05,515,22.44,Allrounder,0
Gnaneswara Rao,44,1592,23.76,22,23.18,Allrounder,0
Steve Tikolo,62,4728,48.24,85,37.18,Allrounder,0
Tillakaratne Sampath,126,5577,27.07,256,29.46,Allrounder,0
Shashrika Pussegolla,60,2386,25.11,63,37.82,Allrounder,0
Anukul Roy,9,374,28.76,30,22.7,Allrounder,0
Malinda Pushpakumara,128,1978,13.73,740,19.74,Allrounder,0
Rajat Bhatia,112,6482,49.1,137,27.97,Allrounder,0
Peter Worthington,7,250,20.83,15,38.53,Allrounder,0
Nuwan Perera,28,452,14.12,67,27.53,Allrounder,0
Shadab Khan,13,504,31.5,57,25.47,Allrounder,0
Mark Cleary,52,1177,18.68,148,32.47,Allrounder,0
Jalaj Saxena,111,6025,37.65,298,28.31,Allrounder,0
Thamara Abeyratne,87,2525,22.54,149,26.97,Allrounder,0
Praneth Jayasundera,72,2453,26.95,131,25.56,Allrounder,0
Mark Adair,7,302,33.55,12,41.25,Allrounder,0
Jacques Kallis,257,19695,54.1,427,31.69,Allrounder,0
Shrikant Mundhe,55,1598,24.96,156,31.5,Allrounder,0
Shane Burton,8,242,16.13,2,56.5,Allrounder,0
Piyush Chawla,131,5370,31.96,438,32.63,Allrounder,0
Jan Frylinck,45,1571,23.44,97,27.4,Allrounder,0
MHM Fernando,5,88,14.66,3,48.66,Allrounder,0
Pardeep Sahu,13,449,24.94,13,39.15,Allrounder,0
Nizakat Khan,6,435,39.54,1,85,Allrounder,0
Rahkeem Cornwall,53,2101,23.87,256,23.78,Allrounder,0
Johan Botha,90,4015,31.61,220,32.28,Allrounder,0
Abdul Razzaq,123,5371,32.55,355,31.42,Allrounder,0
Saman Wijeratne,75,2197,17.57,53,36.28,Allrounder,0
Colin Ackermann,111,7189,41.08,48,39.66,Allrounder,0
Ramesh Kumar,19,719,21.78,4,49,Allrounder,0
Shivam Mavi,5,115,23,19,24.05,Allrounder,0
Naeem Islam,136,8328,42.92,51,48.29,Allrounder,0
Dasun Shanaka,56,2705,39.2,59,30.32,Allrounder,0
Hussain Talat,33,1331,30.25,33,33.93,Allrounder,0
Shrikant Wagh,64,1646,23.85,161,31.22,Allrounder,0
Chinthaka Bandara,8,252,19.38,1,24,Allrounder,0
Mansoor Amjad,122,5164,30.37,233,32.6,Allrounder,0
Shakib Al Hasan,91,5722,37.39,305,30.13,Allrounder,0
Mosharraf Hossain,112,3305,23.94,392,29.03,Allrounder,0
Chinthaka Jayasinghe,142,6417,31.61,104,24.48,Allrounder,0
Sachith Pathirana,94,3714,27.1,320,30.57,Allrounder,0
Saad Khan,7,326,27.16,6,24.33,Allrounder,0
Baron Constantine,119,4475,24.05,439,20.48,Allrounder,0
Shaun Pollock,186,7023,33.12,667,23.25,Allrounder,0
Ranil Dhammika,84,1993,20.97,277,21.9,Allrounder,0
Jacob Oram,85,3992,33.83,155,26.82,Allrounder,0
Mehidy Hasan,32,1093,25.41,137,27.91,Allrounder,0
Rawl Lewis,131,4694,24.07,325,31.55,Allrounder,0
Gayan Fernando,13,184,18.4,27,27.96,Allrounder,0
Nandika Ranjith,95,1181,12.56,320,20.65,Allrounder,0
Grant Lambert,39,1215,23.36,88,35.97,Allrounder,0
Roy Silva,87,3176,23.87,86,29.33,Allrounder,0
Kieron Pollard,27,1584,37.71,14,31.14,Allrounder,0
Saad Nasim,85,3874,28.48,113,42,Allrounder,0
Ravindra Jadeja,94,5415,46.68,402,23.72,Allrounder,0
Sir Ian Botham,402,19399,33.97,1172,27.22,Allrounder,0
Evan Gulbis,21,726,24.2,59,31.59,Allrounder,0
Brandon Mavuta,19,500,17.85,67,26.41,Allrounder,0
Ben Cutting,51,1561,23.65,170,28.41,Allrounder,0
Bradmon Ediriweera,113,5348,33.01,30,28.7,Allrounder,0
Jim Allenby,153,7784,37.06,298,26.51,Allrounder,0
Ashish Reddy,22,987,37.96,53,27,Allrounder,0
Christi Viljoen,80,2788,22.12,225,26.98,Allrounder,0
Sameera Vithana,42,1174,21.34,126,23.46,Allrounder,0
Ranga Dias,67,1992,18.97,146,24.19,Allrounder,0
Sameen Kandanearachchi,41,1686,24.43,3,46.33,Allrounder,0
Malith Cooray,29,1157,25.15,16,44.43,Allrounder,0
Josh Davey,26,626,18.41,59,27.74,Allrounder,0
Steve O'Keefe,82,2299,27.04,284,24.67,Allrounder,0
Aizaz Khan,5,55,6.87,6,64.66,Allrounder,0
Nasir Hossain,81,4704,37.93,73,34.61,Allrounder,0
Rasmi Jinan,50,1466,22.9,124,29.29,Allrounder,0
Sherwin Peters,18,567,16.2,18,26.5,Allrounder,0
Muktar Ali,57,1793,27.58,115,32.76,Allrounder,0
Fazle Mahmud,75,4127,33.01,30,44.86,Allrounder,0
Asela Wewalwala,112,4358,24.62,65,35.69,Allrounder,0
Jeevan Mendis,161,7769,35.8,352,27.31,Allrounder,0
Hardik Pandya,29,1351,30.02,48,30.95,Allrounder,0
Mike Watkinson,308,10939,26.68,739,33.77,Allrounder,0
Muthumudalige Pushpakumara,126,4897,30.04,285,26.74,Allrounder,0
Shubham Ranjane,9,421,42.1,5,47.2,Allrounder,0
Anil Rideegammanagedera,163,6534,27.22,302,26.85,Allrounder,0
Raiphi Gomez,41,1258,21.68,40,31.85,Allrounder,0
Pieter Seelaar,23,751,24.22,35,40.97,Allrounder,0
Nurul Hasan,76,3688,36.88,1,36,Allrounder,0
Asith Weerasuriya,10,295,19.66,1,52,Allrounder,0
Kenroy Martin,20,465,13.28,6,16.16,Allrounder,0
Tonito Willett,76,3132,25.05,86,33.66,Allrounder,0
Mahmood Hamid,177,9438,41.94,14,57.35,Allrounder,0
Rishi Dhawan,73,3401,41.98,284,27.56,Allrounder,0
John Hastings,75,2231,22.08,239,27.22,Allrounder,0
Imesh Udayanga,65,1913,20.13,127,35.62,Allrounder,0
Monty Noble,248,13975,40.74,624,23.14,Allrounder,0
Kyle Mayers,22,734,22.93,67,21.7,Allrounder,0
Harsha Cooray,130,6245,32.19,8,49.87,Allrounder,0
Suraj Sanjeewa,50,1112,15.02,120,28.5,Allrounder,0
Neil Smith,205,6783,26.6,374,37.34,Allrounder,0
Jordan Clark,42,1616,29.38,78,34.97,Allrounder,0
Martin Horton,410,19945,29.54,825,26.94,Allrounder,0
Johan van der Wath,121,3790,24.77,419,25.45,Allrounder,0
Saranga Rajaguru,18,645,25.8,24,38.25,Allrounder,0
Malintha Gajanayake,109,3805,21.74,73,27.98,Allrounder,0
Dolar Mahmud,64,1491,16.03,174,26.41,Allrounder,0
Duminda Perera,128,4872,28,69,22.08,Allrounder,0
Balty Watt,23,809,18.38,2,25.5,Allrounder,0
Liam Dawson,142,6677,32.1,189,35.08,Allrounder,0
Robbie Frylinck,71,2202,23.67,219,26.48,Allrounder,0
Paul Collingwood,306,16938,35.65,166,38.53,Allrounder,0
Sandun Dias,36,1149,18.83,6,93.66,Allrounder,0
Anderson Cummins,66,1672,20.14,192,31.58,Allrounder,0
Sohail Akhtar,12,603,28.71,18,28.94,Allrounder,0
Lennox Cush,38,1249,20.81,26,42.3,Allrounder,0
Kosala Kulasekara,122,4478,26.34,207,29.85,Allrounder,0
Jimmy Hansra,8,231,17.76,5,59.4,Allrounder,0
Lesiba Ngoepe,80,3420,26.3,13,43.61,Allrounder,0
Ashok Menaria,71,4017,37.19,19,72.15,Allrounder,0
Tahir Mughal,112,3202,20.92,502,21.64,Allrounder,0
Yaditha Diluk Ushan,14,39,3.9,24,33.12,Allrounder,0
Carlos Brathwaite,39,1522,27.67,88,23.84,Allrounder,0
Isuru Udana,89,2462,25.12,193,30.72,Allrounder,0
Colin de Grandhomme,103,5328,36.74,166,29.66,Allrounder,0
Rikki Clarke,238,10426,32.78,460,31.43,Allrounder,0
Laxmi Shukla,137,6217,35.93,172,34.75,Allrounder,0
Neil Carter,111,2989,22.81,309,34.31,Allrounder,0
Jason Niemand,12,583,29.15,6,62,Allrounder,0
Nirmal Wickramarathna,23,474,16.92,12,35.08,Allrounder,0
Thushira Madanayake,57,1996,21.46,21,44.42,Allrounder,0
KS Ranganna,8,199,15.3,11,28.81,Allrounder,0
Anoj Katipiarachchi,18,409,15.73,15,30.26,Allrounder,0
Tharaka Kottehewa,40,640,14.54,93,26.29,Allrounder,0
Bipul Sharma,50,2514,42.61,115,30.69,Allrounder,0
Dammika Rajapakse,146,5967,26.4,182,26.78,Allrounder,0
James Hopes,108,5402,31.77,301,26.66,Allrounder,0
Mitchell Marsh,97,4885,31.72,144,31.78,Allrounder,0
John Reedman,81,3338,23.34,118,32.1,Allrounder,0
Geeth Alwis,60,3328,35.03,102,27.41,Allrounder,0
Ian Holland,17,393,19.65,35,23.37,Allrounder,0
Irfan Pathan,122,4559,30.39,384,28.33,Allrounder,0
James Tredwell,177,4728,21.88,426,36.24,Allrounder,0
Mandeep Singh,70,4620,45.29,1,332,Allrounder,0
Malith Gunathilake,22,457,14.74,11,42,Allrounder,0
Akila Isanka,50,1321,17.85,188,28.22,Allrounder,0
Ashley Noffke,118,3766,26.9,386,29.41,Allrounder,0
Alankara Asanka Silva,108,3057,21.22,328,27.92,Allrounder,0
Sudesh Umayanga,60,2650,26.76,34,30.91,Allrounder,0
Wiaan Mulder,22,1106,39.5,66,22.93,Allrounder,0
Roelof van der Merwe,63,3053,34.69,123,35.3,Allrounder,0
Tillakaratne Dilshan,233,13979,38.83,90,36.16,Allrounder,0
Chandika Thirimanne,7,268,26.8,8,27.87,Allrounder,0
Jeremy Lawlor,9,310,25.83,7,37.71,Allrounder,0
Andre Adams,173,4540,21.31,692,23.95,Allrounder,0
Lakshan Rodrigo,40,1724,29.22,49,25.65,Allrounder,0
Nimesh Perera - snr,146,5769,27.86,270,27.07,Allrounder,0
Kumar Dharmasena,155,6568,36.28,495,20.77,Allrounder,0
Elsroy Powell,6,164,20.5,11,42.81,Allrounder,0
Sanath Jayasuriya,265,14819,38.39,205,33.2,Allrounder,0
Kalyana Rathnapriya,10,26,3.71,39,21.25,Allrounder,0
Lal Kumar,71,3393,29.5,131,34.06,Allrounder,0
Kamran Hussain,160,5909,25.03,465,24.54,Allrounder,0
Gayan Wijekoon,170,8807,37.31,257,25.57,Allrounder,0
Andrew White,34,1695,48.42,23,35,Allrounder,0
Dimitri Mascarenhas,195,6495,25.07,450,28.22,Allrounder,0
Lance Klusener,197,9521,42.69,508,30.4,Allrounder,0
Ben Stokes,127,6942,33.86,296,29.45,Allrounder,0
Yasith de Silva,9,217,16.69,21,24.28,Allrounder,0
Collins Obuya,52,2378,30.48,68,38.39,Allrounder,0
Mark Chapman,19,1061,34.22,1,219,Allrounder,0
Darren Sammy,96,3549,23.81,217,29.08,Allrounder,0
Imad Wasim,76,3669,40.76,140,31,Allrounder,0
Ryan McLaren,154,6298,33.86,459,27.61,Allrounder,0
Antonio Mayers,14,374,17.8,11,57.36,Allrounder,0
Lahiru Sri Lakmal,41,1662,24.44,62,37.08,Allrounder,0
Buddika Perera,52,1963,22.56,11,46.72,Allrounder,0
Tony Munyonga,10,266,22.16,7,60.42,Allrounder,0
Brendon Julian,138,4074,25.46,435,30.56,Allrounder,0
Zafar Iqbal,72,2514,27.03,176,27.43,Allrounder,0
Sharafuddin Ashraf,6,298,33.11,38,13.36,Allrounder,0
Ranitha Liyanarachchi,12,278,15.44,30,33.23,Allrounder,0
Chathura Randunu,73,1078,13.14,280,27.07,Allrounder,0
Maduka Liyanapathiranage,69,1963,19.82,253,23.33,Allrounder,0
Vernon Philander,161,4679,26.28,569,21.51,Allrounder,0
Shoaib Malik,126,6559,37.26,260,28.61,Allrounder,0
Manan Sharma,35,1208,27.45,113,30.23,Allrounder,0
Daniel Sams,5,255,25.5,13,38,Allrounder,0
Rahmat Shah,15,933,49.1,15,28.73,Allrounder,0
Justin Greaves,22,824,28.41,46,25.41,Allrounder,0
Yadene Singh,13,142,17.75,42,19.95,Allrounder,0
Dilshan Aravinda,27,1190,27.67,14,32.5,Allrounder,0
Mahendra Nagamootoo,102,2587,19.02,370,29.22,Allrounder,0
Mudassar Bukhari,12,424,21.2,34,27.7,Allrounder,0
Rajagopal Sathish,41,1859,35.07,17,38.23,Allrounder,0
Luke Woodcock,147,7811,35.66,141,43.67,Allrounder,0
Nisal Randika,115,5216,28.81,66,24.1,Allrounder,0
Joginder Sharma,77,2804,24.81,297,21.09,Allrounder,0
Brad Hogg,99,3992,35.01,181,40.51,Allrounder,0
Amila Mendis,61,1145,14.87,142,26.77,Allrounder,0
Kavem Hodge,32,1436,26.59,35,30.48,Allrounder,0
Tafadzwa Kamungozi,48,794,11.18,124,34.2,Allrounder,0
Milinda Siriwardana,123,7124,38.3,156,32.79,Allrounder,0
Luke Wright,144,7622,38.11,120,40.51,Allrounder,0
Aamer Yamin,42,1667,37.04,117,25.39,Allrounder,0
Mahmudullah,105,5912,34.57,134,35.84,Allrounder,0
Mayank Tehlan,27,1178,30.2,1,93,Allrounder,0
Roshan Mapatuna,37,847,16.94,38,27.97,Allrounder,0
Ganapathi Vignesh,8,47,5.87,13,41.46,Allrounder,0
Peter Philpott,76,2886,31.36,245,30.31,Allrounder,0
Asela Aluthge,7,257,23.36,5,29.4,Allrounder,0
Armand Erasmus,15,206,18.72,55,24.49,Allrounder,0
Grant Elliott,83,3883,30.57,92,36.71,Allrounder,0
Denis George,14,146,9.73,31,37.12,Allrounder,0
Suranjith Silva,127,2488,20.56,379,24.01,Allrounder,0
Dwayne Smith,88,3852,28.74,138,30.95,Allrounder,0
Chris Harris,131,7378,45.54,160,35.75,Allrounder,0
Beau Webster,40,1837,27.83,36,47.36,Allrounder,0
Maurice Tate,679,21717,25.04,2784,18.16,Allrounder,0
Tharindu Weerasinghe,44,1429,25.51,44,35.54,Allrounder,0
Lionel Cann,5,183,20.33,1,39,Allrounder,0
Khary Pierre,16,518,24.66,37,27.67,Allrounder,0
Chris Gayle,180,13226,44.83,132,39.34,Allrounder,0
Sujith Nikethana,26,901,23.71,10,18.2,Allrounder,0
Nilanka Sandakan,18,282,13.42,68,30.38,Allrounder,0
Angelo Perera,97,6941,47.54,19,45.1,Allrounder,0
Gayashan Weerasekera,27,1095,30.41,2,93.5,Allrounder,0
Shalika Karunanayake,112,4810,29.32,117,32.55,Allrounder,0
Chanaka Silva,15,287,14.35,12,24.16,Allrounder,0
Sarel Burger,75,3067,24.34,159,25.8,Allrounder,0
Andrew McDonald,95,4825,39.54,201,28.73,Allrounder,0
Dhananjaya de Silva,82,5037,35.22,82,30.25,Allrounder,0
Simon Harmer,130,3910,24.9,522,29.39,Allrounder,0
Bilal Asif,28,809,18.81,75,30.21,Allrounder,0
Greg Matthews,190,8872,38.91,516,31.8,Allrounder,0
Andrew Flintoff,183,9027,33.8,350,31.59,Allrounder,0
Romesh Danushka,43,1179,17.86,15,43,Allrounder,0
Charith Bandara,21,363,21.35,24,37.95,Allrounder,0
Chanaka Wijesinghe,136,6379,30.37,39,36.76,Allrounder,0
Akbar-ur-Rehman,95,4854,35.43,77,27.9,Allrounder,0
Janaka Kumarage,12,363,19.1,14,30.71,Allrounder,0
Elton Chigumbura,107,5600,32.18,209,28.88,Allrounder,0
James Franklin,206,9780,35.56,479,28.18,Allrounder,0
Dinuka Hettiarachchi,228,1659,9.48,962,23.36,Allrounder,0
Chaturanga de Silva,83,4960,42.03,187,27.25,Allrounder,0
Chamindu Ishanka,14,400,16,1,53,Allrounder,0
Keemo Paul,20,627,22.39,80,18.42,Allrounder,0
Ryan ten Doeschate,174,10283,47.16,212,33.83,Allrounder,0
Adeesha Nanayakkara,37,1867,34.57,2,98.5,Allrounder,0
Manjula de Zoysa,110,4955,28.31,44,32.2,Allrounder,0
Sampath Perera,26,611,16.97,53,27.67,Allrounder,0
Tinotenda Mutombodzi,73,2951,27.83,139,31.93,Allrounder,0
Geeth Perera,20,668,23.85,18,40.83,Allrounder,0
Daryl Mitchell,65,3283,33.84,57,35.08,Allrounder,0
Harsha De Silva,14,260,16.25,11,37.18,Allrounder,0
Moises Henriques,91,4530,34.06,111,31.07,Allrounder,0
Ijaz Ahmed,227,13058,40.93,171,25.55,Allrounder,0
Gerhard Erasmus,38,1255,20.24,2,52,Allrounder,0
Susantha Pradeep,62,1656,19.48,78,26.88,Allrounder,0
Kaushalya Gajasinghe,49,2224,32.23,52,25.94,Allrounder,0
Mahesh Kumara,51,2134,23.97,34,26.82,Allrounder,0
Zohaib Khan,105,4601,34.59,196,30.3,Allrounder,0
Tharanga Priyadarshana,67,1467,17.46,112,23.75,Allrounder,0
Janaka Gunaratne,157,8253,36.84,308,27.86,Allrounder,0
Rizwan Ahmed,123,7225,35.94,135,41.06,Allrounder,0
Sean Ervine,229,11390,36.15,280,42.5,Allrounder,0
Omari Banks,80,2757,25.52,204,37.06,Allrounder,0
Zafar Ansari,71,3009,29.79,128,35.87,Allrounder,0
