Player,No. of Matches,Runs Scored,Batting Average,Wickets Taken,Bowling Average,Player Role,Player Class
Daniel Vettori,174,6695,29.62,565,31.82,Allrounder,0
Sajedul Islam,93,1673,19.01,233,28.15,Allrounder,0
Hasitha Wickramasinghe,7,194,24.25,24,24.7,Allrounder,0
Amila Weththasinghe,71,2583,26.09,75,32.06,Allrounder,0
Ziaur Rahman,116,4502,28.13,198,26.08,Allrounder,0
Mohammad Nabi,34,1276,25.01,90,23.14,Allrounder,0
Kamindu Mendis,6,339,42.37,12,31.91,Allrounder,0
Thabo Masheshemane,12,217,11.42,1,81,Allrounder,0
Lorenzo Ingram,12,370,18.5,2,157,Allrounder,0
Gihan Dilruk,45,1580,27.24,73,24.91,Allrounder,0
Harvir Baidwan,9,102,17,16,26.62,Allrounder,0
Mahipal Lomror,23,1269,36.25,28,32.32,Allrounder,0
Mithun Manhas,157,9714,45.82,40,46.65,Allrounder,0
Hasantha Fernando,182,8581,31.2,255,26.41,Allrounder,0
Sir Garry Sobers,383,28314,54.87,1043,27.74,Allrounder,0
Manjula Jayawardene,77,1503,15.82,168,28.24,Allrounder,0
Chinthaka Perera,54,955,16.75,106,33.8,Allrounder,0
Janaka Peiris,5,43,7.16,2,18.5,Allrounder,0
John Mooney,17,723,40.16,35,22.68,Allrounder,0
Tony White,31,996,25.53,95,28.05,Allrounder,0
Andrew Crook,11,493,30.81,8,71.75,Allrounder,0
Garey Mathurin,22,360,10.9,67,22.97,Allrounder,0
Charitha Buddhika,120,2824,20.46,256,26.52,Allrounder,0
Naimur Rahman,34,1151,20.19,103,31.28,Allrounder,0
Keegan Meth,32,1029,24.5,128,17.14,Allrounder,0
Liam Sebastien,85,2576,21.28,183,25.92,Allrounder,0
Geeth Kumara,77,3830,31.65,57,29.87,Allrounder,0
Aruna Karunathilaka,35,939,16.76,47,24.06,Allrounder,0
Deepak Hooda,38,2581,46.92,19,36.94,Allrounder,0
Jesse Ryder,131,8784,45.04,155,30.04,Allrounder,0
Farhad Reza,122,4972,29.77,272,25.26,Allrounder,0
James Fuller,49,1101,19.66,141,33.06,Allrounder,0
Chris Simpson,51,1791,21.57,47,69.42,Allrounder,0
Samiullah Shinwari,18,573,27.28,38,32.63,Allrounder,0
Amjad Javed,15,392,17.04,34,26.79,Allrounder,0
Chris Cairns,217,10702,35.32,647,28.31,Allrounder,0
Scott Styris,128,6048,31.33,204,31.59,Allrounder,0
Abhishek Nayar,103,5749,45.62,173,31.47,Allrounder,0
Yasas Tillakaratne,75,3208,31.14,47,27.76,Allrounder,0
Alan Wells,376,21099,38.57,10,82,Batsman,-1
Jordan Silk,50,2977,31.67,1,87,Batsman,-1
Dean Elgar,188,12909,43.03,53,50.81,Batsman,-1
Aaron Redmond,129,7247,34.18,107,42.76,Batsman,-1
Ian Chappell,262,19680,48.35,176,37.57,Batsman,-1
Ravi Bopara,210,12251,40.56,248,36.72,Batsman,-1
Ben Duckett,76,4818,38.85,1,49,Batsman,-1
Shamarh Brooks,71,3587,33.52,7,78.14,Batsman,-1
Alex Hales,107,6655,37.81,3,57.66,Batsman,-1
Gary Hampson,15,303,14.42,51,25.41,Batsman,-1
Tom Latham,102,7098,42.75,1,18,Batsman,-1
Rahul Tripathi,39,2199,35.46,11,65.63,Batsman,-1
Jonathan Wells,56,2365,23.41,1,203,Batsman,-1
Lendl Simmons,97,5436,33.34,17,34.41,Batsman,-1
Nathan Reardon,30,1305,26.1,15,43.53,Batsman,-1
Sandun Weerakkody,56,3230,35.1,4,25.75,Batsman,-1
Akila Lakshan,14,570,23.75,1,38,Batsman,-1
Udara Jayasundera,88,6184,40.95,26,45.07,Batsman,-1
Harry Tector,6,150,13.63,9,32.77,Batsman,-1
Tom Moody,300,21001,46.25,361,30.7,Batsman,-1
Matthew Short,17,877,41.76,11,44.9,Batsman,-1
Kithuruwan Vithanage,84,5158,40.61,4,109.25,Batsman,-1
S Badrinath,145,10245,54.49,14,52.92,Batsman,-1
Sahan Arachchige,18,639,22.82,3,130.33,Batsman,-1
Mohammad Salman,149,5391,26.04,5,24.2,Batsman,-1
Jahurul Islam,134,7518,35.46,1,19,Batsman,-1
Leon Johnson,109,5718,32.12,8,50.87,Batsman,-1
Pieter Haasbroek,8,497,31.06,13,49,Batsman,-1
Ankit Bawne,90,5890,50.34,4,68.75,Batsman,-1
Cheteshwar Pujara,187,14729,54.55,5,29.2,Batsman,-1
Phil Jaques,200,16035,48.29,1,162,Batsman,-1
Sridharan Sriram,133,9539,52.99,85,46.07,Batsman,-1
Shanan Stewart,96,5693,36.72,28,29.5,Batsman,-1
Callum Ferguson,127,8249,38.01,2,49.5,Batsman,-1
Khalid Latif,137,8572,37.43,9,62.11,Batsman,-1
Murali Vijay,131,9116,42.79,11,56.27,Batsman,-1
Jeet Raval,107,7003,39.12,20,51.45,Batsman,-1
Rahul Dravid,298,23794,55.33,5,54.6,Batsman,-1
Riki Wessels,197,10740,36.04,3,43.33,Batsman,-1
Darron Reekers,6,129,14.33,12,23.08,Batsman,-1
BJ Watling,151,8683,38.59,2,19.5,Batsman,-1
Ben Charlesworth,6,194,24.25,4,11.75,Batsman,-1
Andrew Hilditch,156,9962,37.87,4,49.25,Batsman,-1
Sir Alastair Cook,289,22604,47.38,7,30.14,Batsman,-1
Tim Ambrose,239,10950,33.28,1,1,Batsman,-1
Martin Love,214,16952,49.85,1,11,Batsman,-1
Hasan Mohsin,9,421,26.31,16,39.5,Batsman,-1
Saurabh Tiwary,91,6334,46.23,1,197,Batsman,-1
Matthew Hayden,295,24603,52.57,17,39.47,Batsman,-1
Craig Cumming,147,9142,38.25,34,51.97,Batsman,-1
VVS Laxman,267,19730,51.64,22,34.27,Batsman,-1
Jatin Saxena,22,964,27.54,15,42.66,Batsman,-1
Bhanuka Rajapaksa,65,3123,34.31,34,28.55,Batsman,-1
Brad Moses,75,3791,32.4,20,56,Batsman,-1
Tom Abell,59,3055,32.15,22,28.22,Batsman,-1
Darren Bravo,93,5612,36.44,1,66,Batsman,-1
Lahiru Milantha,58,3845,42.72,15,28.2,Batsman,-1
Mukhtar Ahmed,31,1390,25.27,5,74.4,Batsman,-1
Tom Alsop,33,1482,26.94,3,26,Batsman,-1
Harshad Khadiwale,80,5367,40.96,11,60.09,Batsman,-1
Chamu Chibhabha,96,4715,27.09,123,30.89,Batsman,-1
Nathan Astle,171,9321,37.58,150,32.64,Batsman,-1
Ross McMillan,77,4141,31.85,153,22.05,Batsman,-1
Rassie van der Dussen,110,7063,43.59,4,54.5,Batsman,-1
Matt Machan,44,2089,33.15,1,103,Batsman,-1
David Murphy,78,2205,26.56,1,43,Batsman,-1
Sabbir Rahman,58,2772,32.61,16,44,Batsman,-1
Henry Davids,148,7706,31.07,56,46.58,Batsman,-1
Marcus Stoinis,53,2857,33.61,52,42.36,Batsman,-1
Darwish Rasooli,8,1073,82.53,2,7.5,Batsman,-1
Khurram Khan,24,1730,43.25,34,32.88,Batsman,-1
Mike Atherton,336,21929,40.83,108,43.82,Batsman,-1
Jason Gallian,259,15266,37.5,96,43.37,Batsman,-1
Najibullah Zadran,5,306,30.6,2,42.5,Batsman,-1
Fawad Alam,155,11441,56.08,44,42.25,Batsman,-1
Wilbur Slabber,7,39,3.9,1,214,Batsman,-1
Ryan Broad,59,3261,31.97,3,27.66,Batsman,-1
Ian O'Neill,7,388,32.33,4,38.5,Batsman,-1
Saud Shakeel,31,2023,43.97,15,48,Batsman,-1
Jason Smith,50,2200,30.13,76,27.18,Batsman,-1
Aaron Jones,9,342,20.11,2,29,Batsman,-1
Dean Brownlie,92,6147,40.44,1,180,Batsman,-1
Priyamal Perera,42,2768,45.37,10,23.7,Batsman,-1
Neil Broom,146,8424,38.29,8,65.62,Batsman,-1
Steven Smith,118,10424,57.27,67,52.86,Batsman,-1
Richie Berrington,20,844,29.1,25,25.96,Batsman,-1
Hashmatullah Shahidi,16,1133,47.2,11,28.72,Batsman,-1
Bahir Shah,17,1704,71,3,48.33,Batsman,-1
Jermaine Blackwood,89,4904,31.63,14,41.71,Batsman,-1
Rizwan Cheema,8,374,24.93,13,38.23,Batsman,-1
Tom Bruce,40,2627,43.06,19,33.36,Batsman,-1
David Hemp,271,15520,37.04,17,48.29,Batsman,-1
Stuart Law,367,27080,50.52,83,51.03,Batsman,-1
Glen Addicott,62,3661,38.13,2,76,Batsman,-1
Peter Forrest,80,4251,33.47,1,82,Batsman,-1
Azhar Ali,177,11182,39.37,47,42.1,Batsman,-1
Marshall Rosen,21,1220,30.5,1,25,Batsman,-1
Bodapati Sumanth,63,3164,35.55,2,116,Batsman,-1
Tyrone Theophile,68,3055,25.88,18,34,Batsman,-1
Kraigg Brathwaite,141,9118,39.13,25,51.2,Batsman,-1
Marcus Trescothick,385,26089,41.47,36,43.08,Batsman,-1
William Porterfield,132,6728,31.58,2,69,Batsman,-1
Sam Northeast,149,9060,38.22,1,147,Batsman,-1
D'Arcy Short,13,582,25.3,18,35,Batsman,-1
Forster Mutizwa,98,5524,38.62,2,54,Batsman,-1
Tom de Grooth,20,892,26.23,1,36,Batsman,-1
Faiz Fazal,114,7837,41.9,23,45.73,Batsman,-1
Aaron Finch,83,4721,35.49,5,63.6,Batsman,-1
John Campbell,59,3251,30.1,56,30.62,Batsman,-1
Marshall Ayub,131,7550,36.29,44,39.5,Batsman,-1
Ruvindu Gunasekera,24,1123,26.73,13,29.53,Batsman,-1
Seren Waters,9,484,32.26,2,34,Batsman,-1
Tom Westley,164,9151,36.31,59,44.66,Batsman,-1
James McCollum,13,981,51.63,5,17.6,Batsman,-1
Dinesh Chandimal,109,7741,45.8,1,18,Batsman,-1
Ashfaq Ahmed,18,567,19.55,7,20.42,Batsman,-1
Naumanullah,158,8168,35.2,15,55.66,Batsman,-1
Theunis de Bruyn,61,4373,45.55,11,38.81,Batsman,-1
Ambati Rayudu,97,6151,45.56,10,51.8,Batsman,-1
Morne van Wyk,163,9007,37.84,2,18,Batsman,-1
Nawroz Mangal,14,832,37.81,1,105,Batsman,-1
David Warner,102,8608,48.63,6,75.83,Batsman,-1
Robin Bist,100,6691,47.45,3,106.33,Batsman,-1
Cameron Bancroft,80,5302,39.27,1,67,Batsman,-1
Mohammad Mithun,93,4961,34.69,2,35.5,Batsman,-1
Morne van Vuuren,20,793,28.32,29,39.17,Batsman,-1
Srikkanth Anirudha,23,1031,29.45,3,20,Batsman,-1
Simi Singh,9,408,27.2,14,40.64,Batsman,-1
Nic Maddinson,77,4733,37.26,7,43.71,Batsman,-1
Craig Simmons,7,187,15.58,1,72,Batsman,-1
Adnan Mufti,49,2284,29.66,1,50,Batsman,-1
Anton Devcich,56,2826,30.06,51,37.33,Batsman,-1
Suminda Mendis,57,1299,15.65,1,34,Batsman,-1
Tom Cooper,100,5757,33.66,21,53,Batsman,-1
Michael Di Venuto,336,25200,45.9,5,96.8,Batsman,-1
Cameron White,176,10494,40.05,195,41.37,Batsman,-1
AB de Villiers,141,10689,49.71,2,69,Batsman,-1
Tanmay Mishra,17,920,31.72,1,66,Batsman,-1
Yuvraj Singh,139,8965,44.16,41,48.24,Batsman,-1
Colin Ingram,111,6641,37.3,50,42.64,Batsman,-1
Malcolm Nofal,17,817,35.52,14,23.85,Batsman,-1
Vaughn van Jaarsveld,119,8068,42.02,6,51,Batsman,-1
Devon Smith,209,14032,39.52,5,57.8,Batsman,-1
Shivakant Shukla,85,4198,29.77,27,40.11,Batsman,-1
Kusal Mendis,62,4036,36.36,2,63,Batsman,-1
Peter Cantrell,34,1827,32.62,27,63,Batsman,-1
Nasser Hussain,334,20698,42.06,2,161.5,Batsman,-1
Ibrahim Zadran,8,463,38.58,1,42,Batsman,-1
Tanmay Srivastava,81,4590,36.42,3,48.33,Batsman,-1
Joe Root,137,10474,48.26,40,46,Batsman,-1
Ravikumar Samarth,57,3637,39.53,5,82,Batsman,-1
Soumya Sarkar,65,3304,30.31,33,44.57,Batsman,-1
Peter Burge,233,14640,47.53,1,129,Batsman,-1
Anamul Haque,83,5908,43.76,2,41.5,Batsman,-1
Rohan Mustafa,6,222,27.75,6,47.5,Batsman,-1
Javed Ahmadi,11,559,29.42,2,32.5,Batsman,-1
Clint Bowyer,9,548,34.25,11,25.27,Batsman,-1
Rovman Powell,9,240,15,21,19.8,Batsman,-1
Travis Birt,88,5223,34.58,2,98,Batsman,-1
Michael Hussey,273,22783,52.13,27,40.48,Batsman,-1
Junaid Siddique,126,7451,35.82,1,179,Batsman,-1
Shan Masood,112,6221,33.99,7,78,Batsman,-1
Umaid Asif,55,1314,19.04,179,25.21,Batsman,-1
Kenan Smith,5,43,10.75,6,46.5,Batsman,-1
Roy Kaia,50,2031,25.07,34,48.14,Batsman,-1
Andy Balbirnie,26,1103,32.44,13,18.84,Batsman,-1
Umar Amin,121,7850,40.05,46,32.95,Batsman,-1
Ed Joyce,255,18461,47.95,11,93.9,Batsman,-1
Nick Knight,240,16172,44.18,1,271,Batsman,-1
Nitish Rana,30,1765,41.04,10,45.9,Batsman,-1
Calum MacLeod,28,904,25.82,16,27.81,Batsman,-1
Saeed Azad,174,8905,32.38,1,140,Batsman,-1
Nauman Anwar,15,746,28.69,9,17.55,Batsman,-1
Brandon King,27,1703,34.75,1,10,Batsman,-1
Andre Fletcher,66,3378,30.7,2,71,Batsman,-1
Mushfiqur Rahim,107,6007,35.54,1,34,Batsman,-1
Pikky Ya France,47,1448,15.91,11,67.9,Batsman,-1
Virat Kohli,109,8862,54.03,3,110,Batsman,-1
Jimmy Adams,233,14135,37.29,13,55.46,Batsman,-1
Wasim Jaffer,253,19147,51.19,2,37,Batsman,-1
Mbasa Gqadushe,81,2168,19.18,15,46.13,Batsman,-1
Craig Spearman,201,13021,37.85,1,55,Batsman,-1
Gerhardus Liebenberg,162,9387,34.76,1,51,Batsman,-1
Andrew Strauss,241,17046,42.72,3,47.33,Batsman,-1
Shammu Ashan,22,1257,44.89,12,42.41,Batsman,-1
Colin Munro,48,3611,51.58,58,27.51,Batsman,-1
Brendan Taylor,128,8807,40.21,4,56.25,Batsman,-1
Graeme Smith,165,12916,48.73,11,102.9,Batsman,-1
Hashim Amla,237,17765,48.67,1,277,Batsman,-1
Niall O'Brien,176,9057,35.51,2,9.5,Batsman,-1
Craig Kieswetter,115,5728,39.23,2,14.5,Batsman,-1
Chadwick Walton,87,3879,27.51,4,21.25,Batsman,-1
Ben Rohrer,55,2927,36.13,5,30.2,Batsman,-1
Jamie How,131,7647,36.24,25,51.88,Batsman,-1
Rohit Sharma,87,6562,54.23,24,47.16,Batsman,-1
Virender Sehwag,194,14683,47.36,105,42.57,Batsman,-1
Kshitiz Sharma,7,498,35.57,5,66.2,Batsman,-1
Dawid Malan,174,10170,36.58,55,41.67,Batsman,-1
Kevin Pietersen,217,16522,49.76,73,51.5,Batsman,-1
Jake Lehmann,47,2964,37.05,4,42,Batsman,-1
Assad Fudadin,106,5125,30.32,23,34.95,Batsman,-1
Darren Broom,19,651,24.11,1,68,Batsman,-1
Heinrich Klaasen,65,3946,45.35,2,25,Batsman,-1
Sheldon Jackson,66,4825,49.23,2,28,Batsman,-1
Kane Williamson,139,10924,49.65,85,43.25,Batsman,-1
Sajjad Ahmed,33,1282,25.64,6,31.66,Batsman,-1
Karim Sadiq,24,1698,37.73,34,41.41,Batsman,-1
Gihan Rupasinghe,97,4908,34.8,31,35.45,Batsman,-1
Michael Carberry,208,13868,41.02,17,63.58,Batsman,-1
Gerhard Rudolph,52,2170,22.6,1,98,Batsman,-1
Ashen Silva,73,4307,39.15,9,42.66,Batsman,-1
Andre McCarthy,29,1041,18.92,9,30,Batsman,-1
Mal Loye,264,15329,39.91,1,61,Batsman,-1
Andrew Galloway,5,421,42.1,7,41.14,Batsman,-1
Jason Mohammed,76,3589,28.94,25,31.44,Batsman,-1
Anaru Kitchen,76,4569,36.55,29,45.37,Batsman,-1
Mominul Haque,95,6626,41.93,16,73.25,Batsman,-1
Craig Williams,93,6484,40.52,117,32.99,Batsman,-1
Ralph Crosse,5,40,6.66,1,54,Batsman,-1
Asad Shafiq,138,8638,40.17,5,92.6,Batsman,-1
Dominic Sibley,51,2622,33.61,4,66,Batsman,-1
Saif Hassan,34,1924,41.82,4,53,Batsman,-1
John Dyson,156,9935,40.22,2,33,Batsman,-1
Regis Chakabva,104,6065,35.46,1,33,Batsman,-1
Umang Sharma,29,1732,39.36,4,49.25,Batsman,-1
Misbah-ul-Haq,242,17139,48.69,3,82,Batsman,-1
Jake Weatherald,35,2157,32.68,1,44,Batsman,-1
Adam Voges,211,13881,46.42,56,36.08,Batsman,-1
Brandon Hiini,38,1070,27.43,98,31.28,Batsman,-1
Shamsur Rahman,116,7123,36.34,20,42.85,Batsman,-1
Iftikhar Ahmed,61,3887,40.48,61,26.5,Batsman,-1
Ishan Mutaliph,78,3198,26,1,22,Batsman,-1
Eoin Morgan,99,4912,33.18,2,45,Batsman,-1
Pieter Malan,140,9813,45.85,20,22.7,Batsman,-1
Charles Coventry,64,3018,27.43,2,77.5,Batsman,-1
Aiden Markram,58,4102,43.63,3,81.66,Batsman,-1
Dimuth Karunaratne,160,11780,45.65,4,109.75,Batsman,-1
Stephen Cook,228,15318,39.47,11,44.09,Batsman,-1
Travis Head,86,5827,38.33,41,61.8,Batsman,-1
Javed Omar,102,5353,28.77,2,82.5,Batsman,-1
Dhiman Ghosh,128,6626,37.22,16,26.93,Batsman,-1
Dean Jones,245,19188,51.85,27,57.22,Batsman,-1
Brendon McCullum,150,9210,37.13,1,140,Batsman,-1
Shoaib Khan,65,3695,31.58,3,70.66,Batsman,-1
David Boon,350,23413,44,14,49.71,Batsman,-1
Chandrapaul Hemraj,25,1280,27.82,2,36,Batsman,-1
Brad Hodge,223,17084,48.81,74,41.7,Batsman,-1
Murray Goodwin,320,23723,46.69,7,53.71,Batsman,-1
Amit Paunikar,26,1189,29,1,15,Batsman,-1
Mohammad Ayub,120,7245,41.16,16,44.06,Batsman,-1
Asif Iqbal,5,180,20,3,14.66,Batsman,-1
Rafatullah Mohmand,173,7686,29.33,9,43.33,Batsman,-1
Damien Martyn,204,14630,49.25,37,42.24,Batsman,-1
Keaton Jennings,118,6712,33.89,28,31.85,Batsman,-1
Sean Williams,60,4357,42.3,67,34.79,Batsman,-1
Ryan Burl,20,1345,43.38,17,19.94,Batsman,-1
Yasir Ali,46,3010,49.34,1,112,Batsman,-1
Kaushal Silva,209,13932,46.44,2,20.5,Batsman,-1
Greg Chappell,321,24535,52.2,291,29.95,Batsman,-1
Scott Meuleman,19,742,21.82,2,49,Batsman,-1
Sachin Tendulkar,310,25396,57.84,71,61.74,Batsman,-1
Faf du Plessis,138,8207,40.62,41,36.02,Batsman,-1
Allan Border,385,27131,51.38,106,39.25,Batsman,-1
Mario Olivier,19,918,26.22,1,7,Batsman,-1
Roger Twose,178,9802,36.98,133,31.85,Batsman,-1
Devon Thomas,89,4507,29.07,12,37.5,Batsman,-1
Mark Boucher,212,8803,33.34,1,28,Batsman,-1
Ben Dunk,43,2303,30.3,4,42.25,Batsman,-1
Ravikant Shukla,40,1962,35.03,1,83,Batsman,-1
Phillip Uren,9,357,19.83,2,31,Batsman,-1
Ahmed Shehzad,72,5041,42,17,50.23,Batsman,-1
Golam Mabud,79,3821,28.3,8,43.25,Batsman,-1
Hamilton Masakadza,140,9564,39.85,62,29.53,Batsman,-1
Siddhesh Lad,49,3592,43.27,4,100.5,Batsman,-1
Greg Mail,72,4085,32.16,14,40.28,Batsman,-1
Nick Compton,194,12168,40.42,3,76.33,Batsman,-1
Malinda Warnapura,182,9116,35.47,138,26.61,Batsman,-1
Tom Blundell,51,2793,37.74,1,27,Batsman,-1
Sashen Dorasamy,10,177,16.09,4,56,Batsman,-1
Dilshan Munaweera,77,3890,30.87,60,33,Batsman,-1
Tatenda Taibu,121,7067,37.59,25,18.2,Batsman,-1
Najeeb Tarakai,15,1202,42.92,13,42.46,Batsman,-1
Bernard Scholtz,102,1363,11.75,235,33.17,Batsman,-1
Akshdeep Nath,23,1541,45.32,7,28.85,Batsman,-1
Sese Bau,6,227,20.63,2,48.5,Batsman,-1
Chris Rogers,313,25470,49.55,1,137,Batsman,-1
Mike Haysman,103,5977,36.89,5,135.2,Batsman,-1
Rob Nicol,130,6319,32.74,43,58.58,Batsman,-1
Ricky Ponting,289,24150,55.9,14,58.07,Batsman,-1
Umar Siddiq,61,3314,38.09,1,29,Batsman,-1
Umar Akmal,95,6716,43.61,5,61.8,Batsman,-1
Ricky Bhui,35,2309,45.27,5,33.8,Batsman,-1
Craig Ervine,70,4813,40.44,3,47.66,Batsman,-1
Sean Davies,17,768,27.42,16,25.75,Batsman,-1
Martin Guptill,109,6987,37.97,11,60.9,Batsman,-1
Lega Siaka,7,425,32.69,9,24.33,Batsman,-1
Marlon Samuels,122,7295,36.65,71,55.05,Batsman,-1
Justin Langer,360,28382,50.23,5,42,Batsman,-1
Tharindu Attanayake,28,1057,24.58,6,28.83,Batsman,-1
Sam Wells,63,2707,31.11,115,37.81,Batsman,-1
Lasith Abeyratne,69,3893,35.39,1,10,Batsman,-1
Jon Moss,83,4482,35.01,131,33.93,Batsman,-1
Tharanga Paranavitana,213,14499,46.17,37,40.13,Batsman,-1
Tion Webster,15,653,25.11,12,45.08,Batsman,-1
Liam Davis,40,2373,31.22,1,6,Batsman,-1
Richmond Mutumbami,81,4225,33,3,54.66,Batsman,-1
Alexei Kervezee,97,4621,29.81,8,47.25,Batsman,-1
Glenn Phillips,20,1252,41.73,15,45.2,Batsman,-1
Imam-ul-Haq,46,2406,33.88,1,58,Batsman,-1
Brian Chari,67,3095,25.79,6,44.33,Batsman,-1
Venugopal Rao,121,7081,40.93,66,37.15,Batsman,-1
Chamara Kapugedera,84,3919,34.37,8,71.87,Batsman,-1
Manish Pandey,89,6293,52,5,48.8,Batsman,-1
Imrul Kayes,105,6335,34.42,3,72.33,Batsman,-1
Joe Denly,191,11098,36.26,62,37.29,Batsman,-1
Suresh Niroshan,76,2350,20.25,1,26,Batsman,-1
Haris Sohail,69,4714,50.14,9,28.11,Batsman,-1
Abhimanyu Easwaran,44,3518,50.25,2,73,Batsman,-1
Mohammad Ashraful,156,7931,28.94,192,34.77,Batsman,-1
James Shannon,13,833,39.66,2,25,Batsman,-1
Khushdil Shah,28,1386,26.15,4,22,Batsman,-1
Mohomad Aslam,33,1526,29.34,21,39.8,Batsman,-1
Dhruv Shorey,28,1873,52.02,2,119.5,Batsman,-1
Jonathan Trott,281,18662,44.32,70,49.81,Batsman,-1
Hammad Azam,87,3570,32.45,174,21.33,Batsman,-1
Kanchana Gunawardene,113,5830,32.2,8,33.62,Batsman,-1
Younis Khan,229,17116,49.9,44,48.18,Batsman,-1
Karun Nair,69,4761,48.09,13,49.84,Batsman,-1
Michael Swart,14,664,26.56,5,29.8,Batsman,-1
Shabir Noori,23,1008,24.58,1,53,Batsman,-1
Saad Ali,58,3979,46.81,3,85.33,Batsman,-1
Vusi Sibanda,134,7695,33.02,39,44.25,Batsman,-1
Preston Mommsen,13,395,18.8,4,42.5,Batsman,-1
Daniel Flynn,132,7735,35.48,1,160,Batsman,-1
Sherfane Rutherford,17,486,23.14,33,23.72,Batsman,-1
Michael Dighton,71,4208,33.93,6,53.66,Batsman,-1
Ryan Ramdass,21,1042,30.64,2,12.5,Batsman,-1
Himanshu Rana,24,1386,33,2,37,Batsman,-1
Ramith Rambukwella,56,1782,22.84,148,29.97,Batsman,-1
Rory Burns,113,7901,43.41,2,63.5,Batsman,-1
Laurie Evans,60,3020,31.13,2,129.5,Batsman,-1
Shreyas Iyer,54,4592,52.18,4,100.25,Batsman,-1
Prashant Chopra,49,3340,43.37,18,39.77,Batsman,-1
Steve Waugh,356,24052,51.94,249,32.75,Batsman,-1
Brendan Nash,139,7752,38.95,23,34.82,Batsman,-1
Shane Deitz,66,3753,30.76,2,53,Batsman,-1
Shikhar Dhawan,121,8338,43.88,3,47.33,Batsman,-1
Michael Lumb,210,11443,34.26,6,43.33,Batsman,-1
Qasim Khurshid,14,47,5.22,41,25.56,Batsman,-1
Kieran Powell,118,6364,31.04,11,36.81,Batsman,-1
Upul Fernando,153,7061,30.43,2,55.5,Batsman,-1
Kumar Sangakkara,260,20911,52.4,1,150,Batsman,-1
Paul Nixon,355,14498,34.35,1,157,Batsman,-1
Rohit Prakash Srivastava,35,1679,28.94,4,36.75,Batsman,-1
Gulam Bodi,108,5001,32.47,61,43.42,Batsman,-1
Hazratullah Zazai,17,1246,38.93,3,22.66,Batsman,-1
Reeza Hendricks,125,6916,33.09,4,83.5,Batsman,-1
Johnson Charles,35,1227,20.79,5,33.4,Batsman,-1
Tanbir Hayder,67,2740,31.86,111,34.78,Batsman,-1
Darren Lehmann,284,25795,57.83,130,34.92,Batsman,-1
Anshy Rath,5,391,65.16,7,16.14,Batsman,-1
Sharjeel Khan,77,4897,37.66,9,37.66,Batsman,-1
Kruger van Wyk,138,6734,39.61,1,16,Batsman,-1
Jimmy Maher,206,13149,38.78,10,50.4,Batsman,-1
Shaun Marsh,157,10157,40.79,2,77.5,Batsman,-1
Abid Ali,102,6700,38.28,2,20,Batsman,-1
Nisar Wahdat,14,1106,55.3,2,58,Batsman,-1
Dominic Thornely,83,5166,42.69,56,39.83,Batsman,-1
Chaminda Mendis,149,7393,36.59,21,40.85,Batsman,-1
Craig Wishart,106,5249,30.16,33,30.3,Batsman,-1
Sohaib Maqsood,70,4089,41.3,22,51.04,Batsman,-1
David Gower,448,26339,40.08,4,56.75,Batsman,-1
Ian Bell,307,20256,43.93,47,34.36,Batsman,-1
Ollie Humphries,19,561,24.39,50,28.16,Batsman,-1
Jason Roy,81,4645,38.38,14,35.35,Batsman,-1
Owain Jones,6,349,34.9,12,34,Batsman,-1
Sammy Letsoalo,18,210,12.35,35,36.8,Batsman,-1
Usman Khawaja,137,9499,43.77,1,103,Batsman,-1
Ashton Turner,39,2105,36.29,11,46.09,Batsman,-1
Najmul Hossain Shanto,35,2293,41.69,4,43.5,Batsman,-1
Temba Bavuma,132,7014,36.91,7,44.42,Batsman,-1
Christiaan Jonker,71,4241,38.9,32,24.21,Batsman,-1
Lyndon Brown,12,338,22.53,10,43.8,Batsman,-1
Suresh Raina,109,6871,42.15,41,41.97,Batsman,-1
Gautam Gambhir,198,15153,49.35,7,40.14,Batsman,-1
Marcus North,214,13764,40.72,158,39.08,Batsman,-1
Mahedi Hasan,36,1987,42.27,53,33.96,Batsman,-1
Khurram Manzoor,162,10166,38.21,5,65,Batsman,-1
Timycen Maruma,100,4412,31.07,205,24.68,Batsman,-1
Gurkeerat Singh Mann,49,2942,43.91,41,44.9,Batsman,-1
Habibul Bashar,91,5571,33.76,8,65.87,Batsman,-1
Reece Young,126,4633,30.28,1,68,Batsman,-1
Kyle Coetzer,94,4404,30.37,7,59.14,Batsman,-1
Ross Taylor,167,11214,43.29,6,63,Batsman,-1
